Id,Name,Obsolete,FileId
621,QC- Particulate Matter,FALSE,207
642,Tears,FALSE,253
643,Scratches,FALSE,254
644,Creases,FALSE,232
645,Misaligned ,FALSE,233
646,Knob Rotation,FALSE,236
647,Front Stops Not Touching,FALSE,235
648,Wrinkles,FALSE,252
649,Unparallel Logos,FALSE,237
650,Bleeding Ink,FALSE,251
651,High Jaw Gap,FALSE,250
652,Low Jaw Gap,FALSE,238
653,High Jaw Force ,FALSE,239
654,Low Jaw Force,FALSE,247
655,Electrode Continuity,FALSE,248
656,Electrode Continuity,FALSE,245
657,Device Key Not Reading,FALSE,240
658,Insulation Damage,FALSE,241
659,Jaw Short,FALSE,249
660,Fuse Switch,FALSE,242
661,Blade Activation,FALSE,243
662,Trigger Actuation,FALSE,246
663,Jaw Isolation,FALSE,244
704,Focus Error,FALSE,279
705,Desired Pattern Not Found,FALSE,280
737,Electrode Isolation,FALSE,329
738,Blade Lock Failure,FALSE,330
739,Missing Stop,FALSE,331
