Unnamed: 0,shoporder,Model,ACL Machine Fault/Jam,Blade Does Not Pass Front Stop,Clips Out of Specification,Contamination,Continuity Fail,Cosmetic Defect,Damaged Front Blade Pushers,Damaged Harness Cable,Damaged due to Disassembly of Rework Process,Dent,Desired Pattern Not Found,Engineering Sample,Excess Grivory,Faded Logo,Fail Pull Testing,Front Stops Not Touching,Front and Middle Stops Not Touching,Fuse Switch,High Jaw Force,High Jaw Gap,Incorrect Configuration,Incorrect Insulation Orientation,Incorrect Soldered Latis Location,Incorrect/Missing Weld,Insulation Damage,Jaw Short,Label Wrinkled,Loose Knob Collar,Low Jaw Force,Low Jaw Gap,Middle Stops Not Touching,Misfeed,Open Handle,Opened Bag,Particulate Matter,Pin Hole Too Small,RF Firing Fail,Rough Jaw Actuation,Rough Knob Rotation,Scratched Logo,Squeaky Blade,Stuck Blade,Unable To Insert Blade Guide,Wire Exposure
336,1437973,EB010,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,4.0,2.0,0.0,0,0.0,2.0,0.0,0,0,0.0,2.0,0,0,0,0,0,0,0,2.0,0,0,0,6.0,0,0
393,1445305,EB010,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,5.0,6.0,0.0,0,1.0,5.0,1.0,0,0,0.0,1.0,0,0,0,0,0,0,0,2.0,0,0,0,7.0,0,0
493,1455096,EB010,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,2,0,0.0,0,0,0,88.0,4.0,0.0,0,1.0,7.0,4.0,0,8,0.0,4.0,0,0,0,0,0,0,0,10.0,0,0,0,24.0,0,2
521,1457720,EB010,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,93.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,2.0,0,0,0,0,0,0,0,0.0,0,0,0,5.0,0,0
541,1463360,EB010,0,0.0,0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,1.0,0,0,0,8.0,20.0,1.0,0,1.0,18.0,0.0,0,0,0.0,13.0,0,0,0,0,0,0,0,1.0,0,0,0,2.0,0,8
627,1404358,EB010,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,3.0,0,0.0,2.0,1.0,0,0,0.0,4.0,0,0,0,0,0,0,0,3.0,0,0,0,0.0,0,0
702,1411671,EB010,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0
727,1413760,EB010,0,1.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,5.0,0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,12.0,0,0,0,6.0,0,0
774,1419327,EB010,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,2.0,0.0,0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,7.0,0,0
844,1428553,EB010,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,3.0,1.0,0.0,0,0.0,6.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,7.0,0,0,0,12.0,0,0
